# X Position [mm]	X Current [A]	Y Position [mm]	Y Current [A]	D Position [mm]	D Current [A]
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.909188e+01	-5.892133e-09	1.909188e+01	6.894128e-09	0.000000e+00	0.000000e+00
-1.838478e+01	-4.266402e-09	1.838478e+01	-3.671825e-09	0.000000e+00	0.000000e+00
-1.767767e+01	-8.601682e-09	1.767767e+01	-1.915307e-08	0.000000e+00	0.000000e+00
-1.697056e+01	-5.001850e-09	1.697056e+01	5.384708e-09	0.000000e+00	0.000000e+00
-1.626346e+01	-2.950334e-09	1.626346e+01	-2.348782e-08	0.000000e+00	0.000000e+00
-1.555635e+01	-7.208199e-09	1.555635e+01	-2.844182e-08	0.000000e+00	0.000000e+00
-1.484924e+01	-3.182582e-09	1.484924e+01	2.024671e-08	0.000000e+00	0.000000e+00
-1.414214e+01	1.241669e-08	1.414214e+01	-1.017395e-08	0.000000e+00	0.000000e+00
-1.343503e+01	1.891961e-08	1.343503e+01	-4.600698e-09	0.000000e+00	0.000000e+00
-1.272792e+01	3.835096e-08	1.272792e+01	1.556363e-08	0.000000e+00	0.000000e+00
-1.202082e+01	5.069876e-08	1.202082e+01	-1.822420e-08	0.000000e+00	0.000000e+00
-1.131371e+01	6.176921e-08	1.131371e+01	1.807933e-08	0.000000e+00	0.000000e+00
-1.060660e+01	9.730302e-08	1.060660e+01	1.266090e-08	0.000000e+00	0.000000e+00
-9.899495e+00	1.149926e-07	9.899495e+00	1.088055e-08	0.000000e+00	0.000000e+00
-9.192388e+00	1.495586e-07	9.192388e+00	2.949675e-08	0.000000e+00	0.000000e+00
-8.485281e+00	1.813378e-07	8.485281e+00	3.959827e-08	0.000000e+00	0.000000e+00
-7.778175e+00	1.997629e-07	7.778175e+00	4.884831e-08	0.000000e+00	0.000000e+00
-7.071068e+00	2.395932e-07	7.071068e+00	7.706291e-08	0.000000e+00	0.000000e+00
-6.363961e+00	2.447801e-07	6.363961e+00	1.086059e-07	0.000000e+00	0.000000e+00
-5.656854e+00	2.562375e-07	5.656854e+00	1.077158e-07	0.000000e+00	0.000000e+00
-4.949747e+00	2.791525e-07	4.949747e+00	1.515277e-07	0.000000e+00	0.000000e+00
-4.242641e+00	3.020675e-07	4.242641e+00	1.907727e-07	0.000000e+00	0.000000e+00
-3.535534e+00	2.936679e-07	3.535534e+00	2.351265e-07	0.000000e+00	0.000000e+00
-2.828427e+00	2.910358e-07	2.828427e+00	2.554843e-07	0.000000e+00	0.000000e+00
-2.121320e+00	2.734237e-07	2.121320e+00	2.845890e-07	0.000000e+00	0.000000e+00
-1.414214e+00	2.693594e-07	1.414214e+00	3.035923e-07	0.000000e+00	0.000000e+00
-7.071068e-01	2.512830e-07	7.071068e-01	3.387347e-07	0.000000e+00	0.000000e+00
0.000000e+00	2.393610e-07	0.000000e+00	3.527452e-07	0.000000e+00	0.000000e+00
7.071068e-01	2.332064e-07	-7.071068e-01	3.498425e-07	0.000000e+00	0.000000e+00
1.414214e+00	2.279422e-07	-1.414214e+00	3.458948e-07	0.000000e+00	0.000000e+00
2.121320e+00	2.177233e-07	-2.121320e+00	3.475591e-07	0.000000e+00	0.000000e+00
2.828427e+00	2.136203e-07	-2.828427e+00	3.347483e-07	0.000000e+00	0.000000e+00
3.535534e+00	2.027434e-07	-3.535534e+00	3.523581e-07	0.000000e+00	0.000000e+00
4.242641e+00	1.980597e-07	-4.242641e+00	3.361802e-07	0.000000e+00	0.000000e+00
4.949747e+00	1.905890e-07	-4.949747e+00	3.062628e-07	0.000000e+00	0.000000e+00
5.656854e+00	1.817249e-07	-5.656854e+00	2.960839e-07	0.000000e+00	0.000000e+00
6.363961e+00	1.687190e-07	-6.363961e+00	2.694175e-07	0.000000e+00	0.000000e+00
7.071068e+00	1.567196e-07	-7.071068e+00	2.480920e-07	0.000000e+00	0.000000e+00
7.778175e+00	1.552487e-07	-7.778175e+00	2.202645e-07	0.000000e+00	0.000000e+00
8.485281e+00	1.501780e-07	-8.485281e+00	2.015708e-07	0.000000e+00	0.000000e+00
9.192388e+00	1.320627e-07	-9.192388e+00	1.740529e-07	0.000000e+00	0.000000e+00
9.899495e+00	1.312886e-07	-9.899495e+00	1.425099e-07	0.000000e+00	0.000000e+00
1.060660e+01	1.123604e-07	-1.060660e+01	1.250935e-07	0.000000e+00	0.000000e+00
1.131371e+01	9.618049e-08	-1.131371e+01	1.050453e-07	0.000000e+00	0.000000e+00
1.202082e+01	8.758735e-08	-1.202082e+01	8.321670e-08	0.000000e+00	0.000000e+00
1.272792e+01	7.496862e-08	-1.272792e+01	7.121872e-08	0.000000e+00	0.000000e+00
1.343503e+01	5.991125e-08	-1.343503e+01	5.182845e-08	0.000000e+00	0.000000e+00
1.414214e+01	4.678927e-08	-1.414214e+01	5.086088e-08	0.000000e+00	0.000000e+00
1.484924e+01	3.312540e-08	-1.484924e+01	3.746960e-08	0.000000e+00	0.000000e+00
1.555635e+01	1.826158e-08	-1.555635e+01	2.431054e-08	0.000000e+00	0.000000e+00
1.626346e+01	1.137158e-08	-1.626346e+01	1.865988e-08	0.000000e+00	0.000000e+00
1.697056e+01	9.591013e-09	-1.697056e+01	1.571844e-08	0.000000e+00	0.000000e+00
1.767767e+01	8.817442e-10	-1.767767e+01	1.177072e-08	0.000000e+00	0.000000e+00
1.838478e+01	-1.247189e-09	-1.838478e+01	9.680755e-09	0.000000e+00	0.000000e+00
1.909188e+01	-5.350222e-09	-1.909188e+01	2.371922e-10	0.000000e+00	0.000000e+00
1.979899e+01	-1.119511e-08	-1.979899e+01	-6.845479e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
-1.979899e+01	2.624182e-10	1.979899e+01	-8.393604e-09	0.000000e+00	0.000000e+00
