 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.66916E+01       0.19919E-05      -0.67859E+00       0.56083E+01      -0.75321E-01       0.20874E+01
      0      1       0.92291E+00      -0.65356E-06       0.14327E+00      -0.37547E+01       0.17439E+00      -0.12774E+00
      0      1       0.19627E+01      -0.39280E-05      -0.16955E+00      -0.15191E+01      -0.17678E+00       0.26868E+00
      0      1      -0.83215E+01      -0.21022E-05       0.71026E-01      -0.30937E+01       0.82116E+00      -0.82485E+01
      0      1       0.58523E+01       0.14936E-05      -0.33852E+00      -0.81098E+00      -0.26047E+00       0.21740E+01
      0      1      -0.69394E+00       0.19401E-05      -0.75496E-01       0.14371E+01       0.38401E+00      -0.43188E+01
      0      1       0.11134E+02      -0.51710E-05       0.26584E+00      -0.32075E+01      -0.14091E+00       0.40907E+01
      0      1      -0.86835E+01       0.47608E-05      -0.14731E+00      -0.18055E+01       0.30898E+00       0.20854E+01
      0      1      -0.60783E+01       0.34639E-05      -0.90229E-01      -0.59849E+00      -0.56205E+00       0.62802E+01
      0      1       0.22570E+01      -0.46936E-05       0.23821E+00      -0.90366E+00       0.67315E+00      -0.80451E+01
      0      1      -0.12818E+01       0.49647E-05      -0.82254E+00       0.72495E+01       0.30814E-01      -0.57634E+00
      0      1      -0.11539E+02       0.32233E-05       0.53169E+00       0.23970E+01      -0.14213E+00      -0.24822E+01
      0      1       0.53168E+01       0.32703E-05       0.45637E+00      -0.24688E+01      -0.80763E+00       0.59959E+01
      0      1       0.31254E+01       0.10219E-05       0.18346E+00       0.21141E+01       0.49681E+00       0.24261E+01
      0      1       0.18885E+01      -0.12604E-06       0.39961E+00      -0.11011E+01       0.39910E+00       0.24462E+01
      0      1      -0.74946E+01      -0.33514E-05       0.48934E+00       0.19248E+01      -0.31869E+00      -0.92667E+00
      0      1      -0.75807E+01       0.84805E-06       0.44756E+00      -0.24642E+01      -0.54060E+00      -0.62141E+00
      0      1      -0.12017E+02      -0.16857E-05       0.29365E+00      -0.28138E-01      -0.12776E+00      -0.26840E+01
      0      1      -0.37693E+01      -0.33671E-05      -0.19173E+00      -0.52717E+01      -0.77975E+00       0.12643E+00
      0      1       0.10617E+02      -0.42199E-05       0.28057E+00       0.66210E+01      -0.26621E+00       0.39228E+01
      0      1       0.93362E+01      -0.20071E-05       0.46628E-01      -0.88291E+01      -0.22548E-01      -0.68278E+01
      0      1      -0.36744E+01      -0.41206E-05       0.56527E-01       0.45097E+01       0.14831E+00       0.10354E+01
      0      1      -0.33827E+01       0.12372E-05       0.13481E+00      -0.12516E+01       0.55722E+00      -0.66160E+01
      0      1       0.86954E+01      -0.26832E-05       0.92887E-01       0.32667E+01       0.23752E+00       0.12564E+01
      0      1       0.56615E+01       0.53649E-05       0.33704E+00       0.16054E+01      -0.57611E+00       0.37139E+01
      0      1      -0.27264E+01       0.16125E-05      -0.34171E+00      -0.57262E+01       0.53883E+00      -0.84789E+01
      0      1       0.28848E+01      -0.36158E-05       0.87088E-01      -0.12717E+01       0.14260E+00       0.26775E+01
      0      1       0.65461E-01      -0.34877E-05       0.20773E+00       0.56403E-01      -0.40745E-01       0.69429E+00
      0      1       0.88980E+01       0.17164E-05       0.26822E-01       0.39892E+00      -0.10519E+00      -0.88089E-01
      0      1       0.10143E+02      -0.14651E-05      -0.14216E+00      -0.13625E+00      -0.79316E-01      -0.70806E+00
      0      1      -0.96761E+01       0.21656E-05      -0.13568E+00      -0.50726E+01       0.54956E+00       0.22218E+00
      0      1       0.71061E+01       0.48796E-05       0.57126E+00      -0.35842E+01       0.75586E+00      -0.67642E+01
      0      1      -0.66692E+01      -0.20497E-05       0.34356E+00      -0.99711E+00       0.62795E+00       0.34800E+00
      0      1       0.50540E+01      -0.43059E-05      -0.34480E+00      -0.46733E+01       0.20411E+00      -0.79731E+00
      0      1       0.28720E+01       0.44357E-05       0.27303E+00      -0.54243E+01       0.21486E+00       0.73576E+00
      0      1      -0.47627E+01       0.74148E-06      -0.30380E-01      -0.11375E+01       0.11498E+00      -0.40907E+01
      0      1       0.14240E+01       0.33845E-05       0.52596E+00       0.32561E+01      -0.45012E+00       0.28859E+01
      0      1      -0.65462E+01      -0.44797E-05       0.22993E+00      -0.33977E+01       0.89914E+00      -0.52628E+01
      0      1       0.72196E+01       0.52542E-06       0.29126E+00       0.31416E+01      -0.25850E+00       0.25223E+00
      0      1      -0.33351E+01      -0.31352E-05       0.28707E+00       0.30110E+01      -0.11752E+00       0.25247E+01
      0      1      -0.51834E+01       0.42960E-06       0.38003E-01      -0.90290E+01       0.10106E-01       0.22948E+01
      0      1      -0.29055E+01       0.47095E-05       0.42219E+00       0.42129E+01       0.58848E-01       0.26410E+01
      0      1       0.10066E+02       0.41504E-05       0.27242E+00       0.22065E+01      -0.60126E+00       0.31750E+01
      0      1      -0.40313E+01      -0.33187E-05      -0.23020E-01       0.79046E+00       0.15711E+00      -0.59847E+01
      0      1       0.68811E+01      -0.19951E-05      -0.29871E+00      -0.25836E+01       0.33603E+00      -0.48826E+01
      0      1       0.98930E+01       0.25649E-05       0.44400E+00       0.16236E+01      -0.61530E+00       0.54006E+00
      0      1       0.44809E+01      -0.41522E-05      -0.29321E+00      -0.24415E+01      -0.46098E+00       0.14751E+00
      0      1       0.13550E+01      -0.39790E-05       0.30671E-01       0.13071E+01       0.20506E+00      -0.14992E+01
      0      1      -0.52612E+01      -0.34690E-05      -0.37122E+00      -0.20037E+01       0.50224E+00      -0.23084E+01
      0      1      -0.90827E+01       0.22158E-05       0.20064E+00       0.56723E+01       0.28154E+00       0.15502E+01
      0      1      -0.94550E+01      -0.23125E-05       0.59884E-01       0.22593E+01       0.45936E+00      -0.29217E+01
      0      1       0.12243E+02       0.73633E-06       0.52482E+00      -0.63540E+01       0.96457E-01      -0.44918E+01
      0      1      -0.10330E+02       0.34632E-05       0.65281E+00      -0.23226E+01       0.62103E-01       0.24711E+01
      0      1      -0.10013E+02      -0.13278E-05      -0.32073E+00      -0.71860E+00       0.34743E-01       0.10536E+01
      0      1      -0.34750E+01      -0.18090E-05      -0.26145E+00      -0.56139E+00       0.49661E+00       0.13587E+01
      0      1      -0.26459E+01       0.43203E-05      -0.79793E+00       0.16051E+01      -0.43516E+00       0.32838E+01
      0      1      -0.31474E+01      -0.35816E-06       0.32204E+00       0.27315E+01       0.65091E+00      -0.22942E+01
      0      1       0.64641E+01       0.32355E-07      -0.82958E+00       0.82620E+01      -0.12769E+00      -0.15835E+00
      0      1      -0.26041E+00      -0.12898E-05      -0.61975E+00       0.56214E+00      -0.79678E+00       0.50841E+01
      0      1       0.43607E+00      -0.44681E-05       0.42202E+00      -0.29593E+01      -0.38128E+00       0.48275E+00
      0      1      -0.73650E+01       0.41938E-06       0.31252E+00      -0.15657E+00       0.10893E+00       0.19181E+01
      0      1       0.31873E+01       0.75856E-06      -0.75102E+00       0.72165E+01      -0.60118E+00       0.56160E+01
      0      1      -0.29391E+01      -0.33039E-05       0.31502E+00      -0.82140E-01       0.42711E+00      -0.17681E+00
      0      1       0.78788E+01       0.45644E-05      -0.32974E+00      -0.36562E+00      -0.41847E+00       0.57910E+00
      0      1       0.98385E+01       0.47531E-06       0.21053E+00      -0.22966E-01       0.22201E+00      -0.26442E+01
      0      1      -0.87770E+01      -0.52900E-05      -0.14104E+00      -0.54050E+00       0.55347E-01      -0.67679E+01
      0      1       0.12300E+02      -0.13534E-05      -0.35509E-01      -0.45077E+01       0.22027E+00      -0.45164E+00
      0      1       0.50968E+01       0.52683E-05       0.50115E+00       0.63173E+00       0.46593E-01       0.20080E+01
      0      1      -0.57642E+01       0.41288E-05      -0.55352E+00      -0.23246E+01       0.54233E+00      -0.18890E+01
      0      1      -0.10161E+02       0.10265E-05      -0.36029E+00       0.35700E+01      -0.51390E+00       0.41463E+01
      0      1       0.94247E+01      -0.16770E-05       0.85005E-01       0.92529E+00      -0.16864E+00       0.46256E+01
      0      1       0.67517E+01      -0.32148E-05      -0.11492E+00       0.84549E+00      -0.10920E+00       0.23915E+00
      0      1       0.71514E+01       0.28309E-05       0.41112E+00       0.56659E+01      -0.28455E+00      -0.99847E+00
      0      1      -0.52178E+01      -0.44825E-06       0.11634E+00       0.19592E+01       0.56406E+00      -0.67963E+01
      0      1       0.10061E+02       0.29052E-06      -0.52900E+00       0.57286E+01       0.46031E+00       0.15091E+00
      0      1       0.43714E+01      -0.16303E-05       0.99915E-01       0.63204E+00       0.59885E+00       0.50525E+00
      0      1      -0.35022E+01       0.82308E-06      -0.35197E-01      -0.22439E+00      -0.82388E+00       0.10983E+02
      0      1       0.65895E+01       0.45061E-05      -0.60141E+00       0.52494E+00      -0.53324E+00       0.28159E+01
      0      1       0.12045E+02      -0.24425E-05      -0.11889E-01       0.14264E+01       0.16950E+00      -0.27397E+01
      0      1       0.10684E+02       0.56601E-05      -0.92657E+00       0.82756E+01       0.65832E+00       0.12601E+01
